Slug,MD,Export to CSV
egg-foo-young,"# Shrimp Egg Foo Young 
(~227  Calories)

## Ingridients:  
- 4 eggs;  
- 8 ounces fresh bean sprouts;  
- 1/3 cup thinly sliced green onions;  
- 1 cup cooked small shrimp;  
- 1/4 teaspoon garlic powder;  
- 2 tablespoons vegetable oil;  
- 3 cups chicken broth;  
- 2 tablespoons cornstarch;  
- 2 tablespoons sugar;  
- 2 tablespoons distilled white vinegar;  
- 2 tablespoons soy sauce

## Instruction:  
1. Beat together the eggs, bean sprouts, green onions, shrimp, and garlic powder in a bowl until well-combined. Heat the oil in a skillet over medium heat, and scoop about 1/2 cup of the egg mixture into the skillet to make a patty. Fry until golden brown, about 4 minutes per side, and repeat with the remaining egg mixture. Set the patties aside.;  
2. Whisk together the chicken broth, cornstarch, sugar, vinegar, and soy sauce in a saucepan over medium-low heat until the sauce simmers and thickens, about 5 minutes. Spoon the sauce over the patties.",
tripe,"# Roman Style Tripe 
(~369  Calories)

## Ingridients:  
- 5 quarts cold water;  
- 2 1/2 pounds honeycomb beef tripe;  
- 1/2 cup white vinegar;  
- 2 teaspoons salt;  
- 1 teaspoon vanilla extract;  
- 1 bay leaf;  
- 1 tablespoon olive oil;  
- 4 ounces pancetta bacon, diced;  
- 1 onion, diced;  
- 6 cloves garlic, minced;  
- 3 cups marinara sauce;  
- 1 teaspoon red pepper flakes;  
- 1 (15 ounce) can garbanzo beans, drained;  
- 1 bunch fresh mint leaves, chopped;  
- salt and ground black pepper to taste;  
- 1/4 cup freshly grated Parmigiano-Reggiano cheese, or to taste

## Instruction:  
1. Combine water, tripe, vinegar, salt, vanilla, and bay leaf in a large stockpot over high heat. Bring to a boil and skim off any foam that accumulates. Reduce heat to medium-low, cover pot, and simmer for 1 1/2 hours. Transfer tripe to a plate and set aside to cool. Reserve 1 to 2 cups of the cooking liquid.;  
2. Heat oil in a large skillet over medium heat. Add pancetta and onion; cook and stir until pancetta is browned and onion is translucent, 6 to 7 minutes. Stir garlic into pancetta mixture; cook and stir until aromatic, about 2 minutes.;  
3. Stir marinara sauce, 1 cup reserved tripe liquid, and red pepper flakes into the pancetta mixture. Reduce heat to low and simmer for 30 minutes.;  
4. Cut tripe into 1-inch cubes and add to marinara-pancetta sauce; stir to combine. If needed, add 1 cup of the reserved tripe liquid. Simmer for 30 minutes.;  
5. Mix garbanzo beans and mint into the sauce. Season with salt and black pepper to taste. Sprinkle with Parmigiano-Reggiano cheese and serve.",
egg-salad,"# Delicious Egg Salad for Sandwiches 
(~344  Calories)

## Ingridients:  
- 8 eggs;  
- 1/2 cup mayonnaise;  
- 1 teaspoon prepared yellow mustard;  
- 1/4 cup chopped green onion;  
- salt and pepper to taste;  
- 1/4 teaspoon paprika

## Instruction:  
1. Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop.;  
2. Place the chopped eggs in a bowl, and stir in the mayonnaise, mustard and green onion. Season with salt, pepper and paprika. Stir and serve on your favorite bread or crackers.",
worcestershire-sauce,"# Homemade Worcestershire Sauce 
(~10  Calories)

## Ingridients:  
- 1/2 cup apple cider vinegar;  
- 2 tablespoons water;  
- 2 tablespoons soy sauce;  
- 1 tablespoon brown sugar;  
- 1 teaspoon mustard powder;  
- 1/4 teaspoon onion powder;  
- 1/4 teaspoon garlic powder;  
- 1/4 teaspoon ground cinnamon;  
- ground black pepper to taste

## Instruction:  
1. Combine apple cider vinegar, water, soy sauce, brown sugar, mustard powder, onion powder, garlic powder, ground cinnamon, and black pepper together in a saucepan; bring to a boil and cook until fragrant, about 45 seconds. Cool to room temperature.",
pot-roast,"# Simple Beef Pot Roast 
(~507  Calories)

## Ingridients:  
- 1 tablespoon vegetable oil;  
- 3 1/2 pounds beef chuck pot roast;  
- 2 teaspoons salt;  
- 1 teaspoon ground black pepper;  
- 1 cup diced carrots;  
- 1 cup diced celery;  
- 1 cup diced onion;  
- 1/4 cup butter;  
- 1 teaspoon dried rosemary

## Instruction:  
1. Preheat the oven to 275 degrees F (135 degrees C).;  
2. Pour vegetable oil into a large oven-safe pot over medium-high heat. Season the chuck roast with salt and black pepper. Brown the meat on both sides in the hot oil, and transfer to a plate.;  
3. Stir carrots, celery, and onion into the pot, and cook and stir until vegetables start to release their juices, about 3 minutes; loosen any brown flavor bits on the bottom of the pot. Add butter, and cook until the onions are translucent, about 5 minutes. Then sprinkle in rosemary, stir the vegetables, and return the roast to the pot. Cover the pot with a lid.;  
4. Roast in the preheated oven until the chuck roast is tender, about 2 1/2 to 3 hours. Season vegetables with additional salt and black pepper, if desired.",
marzipan,"# Marzipan 
(~143  Calories)

## Ingridients:  
- 2 cups confectioners' sugar;  
- 1/2 pound finely ground blanched almonds;  
- 2 egg whites;  
- 1/2 teaspoon salt;  
- 1/2 teaspoon almond extract

## Instruction:  
1. Blend the confectioner's sugar, finely ground almonds, egg whites, salt, and almond extract in a blender until perfectly blended. Cover and chill until firm, 24 hours.",
tuna-casserole,"# Best Tuna Casserole 
(~595  Calories)

## Ingridients:  
- 1 (12 ounce) package egg noodles;  
- 1/4 cup chopped onion;  
- 2 cups shredded Cheddar cheese;  
- 1 cup frozen green peas;  
- 2 (5 ounce) cans tuna, drained;  
- 2 (10.75 ounce) cans condensed cream of mushroom soup;  
- 1/2 (4.5 ounce) can sliced mushrooms;  
- 1 cup crushed potato chips

## Instruction:  
1. Bring a large pot of lightly salted water to a boil. Cook pasta in boiling water for 8 to 10 minutes, or until al dente; drain.;  
2. Preheat oven to 425 degrees F (220 degrees C).;  
3. In a large bowl, thoroughly mix noodles, onion, 1 cup cheese, peas, tuna, soup and mushrooms. Transfer to a 9x13 inch baking dish, and top with potato chip crumbs and remaining 1 cup cheese.;  
4. Bake for 15 to 20 minutes in the preheated oven, or until cheese is bubbly.",
calzone,"# Calzone 
(~285  Calories)

## Ingridients:  
- 1 1/4 cups water;  
- 1 teaspoon salt;  
- 3 cups bread flour;  
- 1 teaspoon dry milk powder;  
- 1 1/2 tablespoons white sugar;  
- 2 teaspoons active dry yeast;  
- 3/4 cup pizza sauce;  
- 4 ounces pepperoni sausage, chopped;  
- 1 1/4 cups shredded mozzarella cheese;  
- 2 tablespoons butter, melted

## Instruction:  
1. Place water, salt, bread flour, dry milk, sugar, and yeast in the pan of the bread machine in the order suggested by the manufacturer. Select Dough cycle.;  
2. After cycle ends, roll out dough on a lightly floured surface; shape into a 16 x 10 inch rectangle. Transfer to a lightly greased cookie sheet. In a small bowl, mix together chopped pepperoni and mozzarella. Spoon pizza sauce in a stripe down the center of dough lengthwise; add sausage and cheese filling. Make diagonal cuts 1 1/2 inches apart down each side, cutting within a 1/2 inch of the filling. Criss cross strips over filling, sealing with water. Brush top with melted butter.;  
3. Bake at 350 degrees F (175 degrees C) for 35 to 45 minutes.",
macaroni-salad,"# Classic Macaroni Salad 
(~390  Calories)

## Ingridients:  
- 4 cups uncooked elbow macaroni;  
- 1 cup mayonnaise;  
- 1/4 cup distilled white vinegar;  
- 2/3 cup white sugar;  
- 2 1/2 tablespoons prepared yellow mustard;  
- 1 1/2 teaspoons salt;  
- 1/2 teaspoon ground black pepper;  
- 1 large onion, chopped;  
- 2 stalks celery, chopped;  
- 1 green bell pepper, seeded and chopped;  
- 1/4 cup grated carrot (optional);  
- 2 tablespoons chopped pimento peppers (optional)

## Instruction:  
1. Bring a large pot of lightly salted water to a boil. Add the macaroni, and cook until tender, about 8 minutes. Rinse under cold water and drain.;  
2. In a large bowl, mix together the mayonnaise, vinegar, sugar, mustard, salt and pepper. Stir in the onion, celery, green pepper, carrot, pimentos and macaroni. Refrigerate for at least 4 hours before serving, but preferably overnight.",
long-island-iced-tea,"# The REAL Long Island Iced Tea 
(~262  Calories)

## Ingridients:  
- 1/2 fluid ounce vodka;  
- 1/2 fluid ounce rum;  
- 1/2 fluid ounce gin;  
- 1/2 fluid ounce tequila;  
- 1/2 fluid ounce triple sec (orange-flavored liqueur);  
- 1 fluid ounce sweet and sour mix;  
- 1 fluid ounce cola, or to taste;  
- 1 lemon slice

## Instruction:  
1. Fill a cocktail shaker with ice. Pour vodka, rum, gin, tequila, triple sec, and sour mix over ice; cover and shake. Pour cocktail into a Collins or hurricane glass; top with splash of cola for color. Garnish with a lemon slice.",
chilaquiles,"# Chilaquiles II 
(~278  Calories)

## Ingridients:  
- 2 cups oil for frying;  
- 1/4 cup chopped onion;  
- 30 (6 inch) corn tortillas, torn into strips;  
- 6 eggs, lightly beaten;  
- 2 teaspoons salt;  
- 1 (7.75 ounce) can Mexican style hot tomato sauce;  
- 1/2 cup water;  
- 1/2 cup shredded Monterey Jack cheese

## Instruction:  
1. In a large, heavy skillet, heat the oil to 350 degrees F (175 degrees C). Carefully stir in the onion and tortilla strips. Fry until tortilla strips are crisp and golden brown. Remove from heat, and drain on paper towels. Drain the skillet, leaving only a thin residue of oil.;  
2. Over medium heat, return tortillas to the skillet, and stir in the eggs. Season with salt. Cook and stir until eggs are firm.;  
3. Mix Mexican style hot tomato sauce and water into the skillet. Reduce heat, and simmer until thickened, about 10 minutes. Top with cheese. Continue cooking until cheese has melted.",
seitan,"# Basic Seitan - Wheat Meat (Vegan Meat Substitute) 
(~304  Calories)

## Ingridients:  
- Dough:;  
- 1 cup vital wheat gluten;  
- 3 tablespoons nutritional yeast;  
- 1/2 cup vegetable broth;  
- 1/4 cup liquid amino acid (such as BraggÂ®);  
- 1 tablespoon olive oil;  
- 1 1/2 teaspoons minced garlic;  
- Cooking Broth:;  
- 4 cups vegetable broth;  
- 4 cups water;  
- 1/4 cup tamari

## Instruction:  
1. Stir vital wheat gluten, nutritional yeast, 1/2 cup vegetable broth, liquid amino acid, olive oil, and garlic in a bowl until ingredients come together into a ball. Knead ball until dough has a rubbery texture. Divide dough into 3 equal pieces and shape into 1/2-inch thick patties.;  
2. Bring 4 cups vegetable broth, water, and tamari to a boil in a large pot. Carefully place patties into boiling broth; cover pot and return to a boil. Set lid slightly askew to vent steam and reduce heat to low. Continue simmering patties until firm, turning patties occasionally, about 1 hour. Remove pot from heat and set lid aside. Allow patties to cool in broth for 15 minutes before serving.",